"viejo	nuevo"
"P_NIVEL_ANOS_C	P_NIVEL_ANOS_C"
"PERSO_HOGAR	PERSO_HOGAR"
"H_NRO_DORMIT_C	H_NRO_DORMIT_C"
"HACINAMIENTO	HACINAMIENTO"
"VA1_ESTRATO_C	VA1_ESTRATO_C"
"VD_GAS_C	VD_GAS_C"
"VC_ALC_C	VC_ALC_C"
"VE_RECBAS_C	VE_RECBAS_C"
"VF_INTERNET_C	VF_INTERNET_C"
"PA_VIVIA_5ANOS_C	PA_VIVIA_5ANOS_C"
"P_TRABAJO_C	P_TRABAJO_C"
"P_PARENTESCO_C	P_PARENTESCO_C"
"V_TIPO_VIV_C	V_TIPO_VIV_C"
"VB_ACU_C	VB_ACU_C"
"PESOS	PESOS"
"HA_TOT_PER	HA_TOT_PER"
"ocupa	ocupa"
"jefesin	jefesin"
"inasistencia	inasistencia"
"ocupados	ocupados"
"jefesine	jefesine"
"inasist	inasist"
"NBI_VIV	NBI_VIV"
"NBI_SER	NBI_SER"
"haci	haci"
"NBI_HAC	NBI_HAC"
"NBI_INA	NBI_INA"
"NBI_DEP	NBI_DEP"
"NBI0	NBI0"
"NBI	NBI"
"POBREZA_NBI	POBREZA_NBI"
"MISERIA	MISERIA"
"NBI0P	NBI0P"
"NBIP	NBIP"
"NBI_P	NBI_P"
"NBI_np	NBI_np"
"MISERIA_P	MISERIA_P"
"bajo_logro	bajo_logro"
"alfabeta	alfabeta"
"asistencia	asistencia"
"rezago	rezago"
"salud	salud"
"pensionado	pensionado"
"seguro_salud	seguro_salud"
"salud_nec	salud_nec"
"hacinamiento	hacinamiento"
"paredes	paredes"
"pisos	pisos"
"alcantarillado	alcantarillado"
"acueducto	acueducto"
"hv105	hv105"
"hv104	hv104"
"hv005	hv005"
"dominio	dominio"
"dominio_2	dominio_2"
"dominio_3	dominio_3"
"usametodo	usametodo"
"unida	unida"
"area	area"
